Phenotype,MeSH Heading/Name of Substance,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Notes,Heading Mapped to
"HYPOMAGNESEMIA 3, RENAL",Hypomagnesemia primary,C12.777.419.815,C13.351.968.419.815,C16.320.565.861,C18.452.648.861,C12.777.419.590,C13.351.968.419.590,C18.452.174.130.560,C23.888.942.337,,,,,,,,,,,,,,"A progressive renal disorder characterized by excessive urinary Ca(2+) and Mg(2+) excretion. There is progressive loss of kidney function, and in about 50% of cases, the need for renal replacement therapy by the second decade of life. Germline mutations in the CLDN16 gene have been identified. OMIM: 603959","*Renal Tubular Transport, Inborn Errors;*Nephrocalcinosis;*Hypercalciuria"
MALONYL-CoA DECARBOXYLASE DEFICIENCY,Malonic aciduria,D08.811.520.224.125,C16.320.565,C18.452.648,D03.438.759.646.138.382.300.500,D08.211.211.300.500,D13.695.667.138.382.300.500,D13.695.827.068.382.300.500,D02.241.081.337.540.500,,,,,,,,,,,,,,,"Carboxy-Lyases/*deficiency;*Metabolism, Inborn Errors;Malonyl Coenzyme A;Methylmalonic Acid"
MANDIBULOACRAL DYSPLASIA WITH TYPE A LIPODYSTROPHY,Mandibuloacral dysplasia with type A lipodystrophy,A02.835.232.781.324.502.632,A14.521.632,C17.800.849.391,C18.452.584.625,C18.452.880.391,C05.116.099.052,C05.116.264.579.052,,,,,,,,,,,,,,,,Mandible/*abnormalities;*Lipodystrophy;*Acro-Osteolysis
TREACHER COLLINS SYNDROME 3,,,,,,,,,,,,,,,,,,,,,,,,
MANITOBA OCULOTRICHOANAL SYNDROME,Marles Greenberg Persaud syndrome,C05.116.099.370.231.480,C05.660.207.231.480,C16.131.621.207.231.480,C11.250.110,C16.131.384.282,C16.131.077,A03.556.124.526.070,A03.556.249.249.070,,,,,,,,,,,,,,"Unilateral upper eyelid coloboma, aberrant anterior hairline pattern, and anal anomalies","*Hypertelorism;*Coloboma;*Abnormalities, Multiple;Anal Canal/*abnormalities"
MARDEN-WALKER SYNDROME,Marden-Walker syndrome,C05.550.323,C05.651.197,C17.300,C11.250.090,C11.338.190,C16.131.384.190,C16.131.077,C05.660.585.174,C16.131.621.585.174,,,,,,,,,,,,,,"*Contracture;*Connective Tissue Diseases;*Blepharophimosis;*Abnormalities, Multiple;*Arachnodactyly"
MAST SYNDROME,MAST Syndrome,C10.228.140.380,F03.615.400,C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,mutation in ACP33,"*Dementia;*Spastic Paraplegia, Hereditary"
"MECKEL SYNDROME, TYPE 1",Meckel syndrome type 1,C08.200,C09.150,C10.500.680.488,C16.131.666.680.488,C23.300.707.186,C12.777.419.403.875,C13.351.968.419.403.875,,,,,,,,,,,,,,,"A severe hereditary disorder with autosomal recessive inheritance. There is considerable variability (GENETIC PLEIOTROPY) in the range of anomalies observed in affected individuals caused by dysfunction of primary CILIA during early EMBRYOGENESIS. These include a combination of renal CYSTS, encephalocele, HEPATIC DUCT dysplasia and cysts, and POLYDACTYLY. Mutations in the MKS1 gene have been identified. OMIM: 249000",*Ciliary Motility Disorders;*Encephalocele;*Polycystic Kidney Diseases
THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA SYNDROME,Thiamine responsive megaloblastic anemia syndrome,C18.452.394.750,C19.246,C09.218.458.341.887,C10.597.751.418.341.887,C23.888.592.763.393.341.887,C18.654.521.500.133.699.827,C15.378.071.252.196,,,,,,,,,,,,,,,"A hereditary autosomal recessive disorder characterized by megaloblastic anemia, diabetes mellitus, and sensorineural deafness. Onset is typically between infancy and adolescence, but all of the cardinal findings are often not present initially. The anemia, and sometimes the diabetes, improves with high doses of THIAMINE. Other more variable features include OPTIC ATROPHY; CONGENITAL HEART DEFECTS, short stature, and STROKE. Mutations in the SLC19A2 gene have been identified. OMIM: 249270","*Diabetes Mellitus;*Hearing Loss, Sensorineural;Thiamine Deficiency/*congenital;*Anemia, Megaloblastic"
FRANK-TER HAAR SYNDROME,Ter Haar syndrome,F03.625.421,C14.240.400,C14.280.400,C16.131.240.400,C05.116.099.708,C16.320.728,C05.660.207,C16.131.621.207,,,,,,,,,,,,,,,"Developmental Disabilities;*Heart Defects, Congenital;Osteochondrodysplasias/*congenital;*Craniofacial Abnormalities"
METACHROMATIC LEUKODYSTROPHY DUE TO SAPOSIN B DEFICIENCY,Metachromatic Leukodystrophy due to Saposin B Deficiency,D08.211.790.500,C10.228.140.163.100.362.550,C10.228.140.163.100.435.825.850.500,C10.228.140.695.625.550,C10.314.400.550,C16.320.565.189.362.550,C16.320.565.189.435.825.850.500,C16.320.565.398.641.803.925.500,C16.320.565.595.554.825.850.500,C18.452.132.100.362.550,C18.452.132.100.435.825.850.500,C18.452.584.687.803.925.500,C18.452.648.189.362.550,C18.452.648.189.435.825.850.500,C18.452.648.398.641.803.925.500,C18.452.648.595.554.825.850.500,,,,,,,"Saposins/*deficiency;*Leukodystrophy, Metachromatic"
"SPONDYLOMETAPHYSEAL DYSPLASIA, SEDAGHATIAN TYPE","Spondylometaphyseal dysplasia, Sedaghatian type",C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias
CARTILAGE-HAIR HYPOPLASIA,Cartilage-hair hypoplasia,A17.360,C20.673,C05.116.099.708,C16.320.728,C06.198.439,C06.405.469.158.701.439,C16.131.314.439,,,,,,,,,,,,,,,"A hereditary autosomal recessive form of short-limbed DWARFISM due to osteochondrodysplasia. Affected individuals may also experience gastrointestinal abnormalities such as Hirschsprung Disease, immunologic deficiency, and increased susceptibility for LYMPHOMA and SKIN NEOPLASMS. Mutations in the RMRP gene have been identified. OMIM: 250250",Hair/*abnormalities;*Immunologic Deficiency Syndromes;Osteochondrodysplasias/*congenital;*Hirschsprung Disease
"METAPHYSEAL CHONDRODYSPLASIA, SPAHR TYPE",error,,,,,,,,,,,,,,,,,,,,,,error,error
METAPHYSEAL DYSPLASIA WITHOUT HYPOTRICHOSIS,Metaphyseal Dysplasia without Hypotrichosis,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias
"BETA-HYDROXYISOBUTYRYL CoA DEACYLASE, DEFICIENCY OF",,,,,,,,,,,,,,,,,,,,,,,,
METHEMOGLOBINEMIA TYPE IV,Methemoglobinemia Type IV,C15.378.619,D08.244.187.500,D12.776.422.220.187.500,,,,,,,,,,,,,,,,,,,,*Methemoglobinemia;Cytochromes b5/*deficiency
METHEMOGLOBINEMIA DUE TO DEFICIENCY OF METHEMOGLOBIN REDUCTASE,NADH cytochrome B5 reductase deficiency,C15.378.619,D08.811.682.608.191.237,D12.776.331.186,,,,,,,,,,,,,,,,,,,,*Methemoglobinemia;Cytochrome-B(5) Reductase/*deficiency
METHIONINE ADENOSYLTRANSFERASE DEFICIENCY,Hypermethioninemia,C16.320.565.100,C18.452.648.100,D08.811.913.555.500.387,,,,,,,,,,,,,,,,,,,"mutation in GNMT, MAT1A, AHCY","*Amino Acid Metabolism, Inborn Errors;Glycine N-Methyltransferase/*deficiency"
"HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA, cblG COMPLEMENTATION TYPE",,,,,,,,,,,,,,,,,,,,,,,,
"3-@METHYLGLUTACONIC ACIDURIA, TYPE I",,,,,,,,,,,,,,,,,,,,,,,,
METHYLMALONIC ACIDURIA DUE TO METHYLMALONYL-CoA MUTASE DEFICIENCY,Methylmalonic Aciduria due to Methylmalonyl-CoA Mutase Deficiency,D08.811.399.520.625,C16.320.565.100,C18.452.648.100,,,,,,,,,,,,,,,,,,,mutation in methylmalonyl-CoA mutase gene (MUT); mut(0) is complete enzyme deficiency; mut(-) is partial enzyme deficiency.,"Methylmalonyl-CoA Mutase/*deficiency;*Amino Acid Metabolism, Inborn Errors"
"METHYLMALONIC ACIDURIA, cblA TYPE",Methylmalonic aciduria cblA type,C16.320.565.100,C18.452.648.100,,,,,,,,,,,,,,,,,,,,"Methylmalonic aciduria, vitamin b12-responsive, due to defect in synthesis of adenosylcobalamin, cbla complementation type; mutation in MMAA; Methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblA type","*Amino Acid Metabolism, Inborn Errors"
"METHYLMALONIC ACIDURIA, cblB TYPE",Methylmalonic aciduria cblB type,C16.320.565.100,C18.452.648.100,,,,,,,,,,,,,,,,,,,,"Methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB type","*Amino Acid Metabolism, Inborn Errors"
METHYLMALONYL-CoA EPIMERASE DEFICIENCY,Methylmalonyl-CoA Epimerase Deficiency,D08.811.399.894,C16.320.565.100,C18.452.648.100,,,,,,,,,,,,,,,,,,,,"Racemases and Epimerases/*deficiency;*Amino Acid Metabolism, Inborn Errors"
"MICROCEPHALY 1, PRIMARY, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
JAWAD SYNDROME,Microcephaly with Mental Retardation and Digital Anomalies,A01.378.800.667.430,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C05.390.408,C05.660.585.988.425,C16.131.621.585.425,A01.378.610.250.300.792,C05.660.207.620,C10.500.507.400.500,C16.131.621.207.620,C16.131.666.507.400.500,,,,,,,,,,"Fingers/*abnormalities;*Intellectual Disability;*Hand Deformities, Congenital;Toes/*abnormalities;*Microcephaly"
"MICROCEPHALY WITH CHORIORETINOPATHY, AUTOSOMAL RECESSIVE","Microcephaly with Chorioretinopathy, Autosomal Recessive",C11.941.160,C05.660.207.620,C10.500.507.400.500,C16.131.621.207.620,C16.131.666.507.400.500,C11.768,C11.270,C16.320.290,,,,,,,,,,,,,,,"*Choroid Diseases;*Microcephaly;*Retinal Diseases;*Eye Diseases, Hereditary"
GALLOWAY-MOWAT SYNDROME,Galloway Mowat syndrome,C12.777.419.630,C13.351.968.419.630,C05.660.207.620,C10.500.507.400.500,C16.131.621.207.620,C16.131.666.507.400.500,C23.300.707.500.467,,,,,,,,,,,,,,,,"*Nephrosis;*Microcephaly;*Hernia, Hiatal"
DESBUQUOIS DYSPLASIA 1,,,,,,,,,,,,,,,,,,,,,,,,
MICROSPHEROPHAKIA,Microspherophakia,C11.525.381,C11.204,C11.250.300,C11.510.598.373,C16.131.384.405,,,,,,,,,,,,,,,,,,*Glaucoma;*Corneal Diseases;*Ectopia Lentis;Iris/*abnormalities
"DIARRHEA 2, WITH MICROVILLOUS ATROPHY",,,,,,,,,,,,,,,,,,,,,,,,
MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (HEPATOCEREBRAL TYPE),,,,,,,,,,,,,,,,,,,,,,,,
MITOCHONDRIAL MYOPATHY WITH LACTIC ACIDOSIS,Mitochondrial myopathy with lactic acidosis,C23.550.393,C18.452.076.176.180,C09.218.458.341.887.432,C09.218.807.186.432,C10.228.140.068.432,C10.597.751.418.341.887.432,C23.888.592.763.393.341.887.432,C05.651.460,C10.668.491.500,C18.452.660.560,,,,,,,,,,,,"Metabolic myopathy associated with chronic lactic acidemia, growth failure, and nerve deafness","*Growth Disorders;*Acidosis, Lactic;*Hearing Loss, Central;*Mitochondrial Myopathies"
MITOCHONDRIAL COMPLEX I DEFICIENCY,Mitochondrial complex I deficiency,C18.452.660,D05.500.562.249,D08.811.600.250.500.500,D08.811.682.608.504,D12.776.157.427.374.375.863,D12.776.157.530.450.250.875.300,D12.776.331.199.500,D12.776.543.277.500.500,D12.776.543.585.450.250.875.437,D12.776.556.579.374.375.140,,,,,,,,,,,,"The most common hereditary enzymatic defect of the OXIDATIVE PHOSPHORYLATION disorders that is linked to numerous diseases that can appear at any stage of life from birth through old age. These  include MACROCEPHALY with progressive leukodystrophy, nonspecific encephalopathy, HYPERTROPHIC CARDIOMYOPATHY; MYOPATHY; LIVER DISEASES; LEIGH DISEASE;  LEBER HEREDITARY OPTIC NEUROPATHY, and some cases of PARKINSON  DISEASE. Mutations in both mitochondrial and nuclear genes for the components of NADH-ubiquinone reductase have been identified. OMIM: 252010",*Mitochondrial Diseases;Electron Transport Complex I/*deficiency
MITOCHONDRIAL COMPLEX II DEFICIENCY,Mitochondrial Complex II Deficiency,C16.320.565,C18.452.648,C18.452.660,D05.500.562.750.249,D08.811.600.250.500.750,D08.811.600.250.875.249,D08.811.682.660.385,D08.811.682.830.249,D12.776.157.427.374.375.909,D12.776.331.199.750,D12.776.543.277.500.750,D12.776.543.277.875.249,D12.776.556.579.374.375.141,,,,,,,,,,"*Metabolism, Inborn Errors;*Mitochondrial Diseases;Electron Transport Complex II/*deficiency"
MOLYBDENUM COFACTOR DEFICIENCY,Molybdenum cofactor deficiency,C16.320.565.618,C18.452.648.618,,,,,,,,,,,,,,,,,,,,"A genetically heterogeneous rare autosomal recessive metabolic disorder characterized by onset in infancy of poor feeding, intractable SEIZURES, and severe psychomotor retardation. Characteristic biochemical abnormalities include decreased serum URIC ACID and increased urine sulfite levels due to the combined enzymatic deficiency of XANTHINE DEHYDROGENASE and SULFITE OXIDASE, both of which use molybdenum as a cofactor. Most affected individuals die in early childhood. OMIM: 252150","*Metal Metabolism, Inborn Errors"
"MOLYBDENUM COFACTOR DEFICIENCY, COMPLEMENTATION GROUP B","Molybdenum Cofactor Deficiency, Complementation Group B",D08.811.682.647.550,D12.776.097.350.450,D12.776.157.427.374.375.275.450,D12.776.556.579.374.375.275.450,C16.320.565.618,C18.452.648.618,,,,,,,,,,,,,,,,,"Molybdoferredoxin;*Metal Metabolism, Inborn Errors"
MUCOLIPIDOSIS II ALPHA/BETA,,,,,,,,,,,,,,,,,,,,,,,,
MUCOLIPIDOSIS III ALPHA/BETA,,,,,,,,,,,,,,,,,,,,,,,,
MUCOLIPIDOSIS III GAMMA,Mucolipidosis III Gamma,C05.116.198.371,C10.228.140.163.100.435.590,C16.320.565.189.435.590,C16.320.565.202.670,C16.320.565.595.554.590,C18.452.132.100.435.590,C18.452.648.189.435.590,C18.452.648.202.670,C18.452.648.595.554.590,,,,,,,,,,,,,Results from mutation in gene for gamma subunit of N-acetylglucosamine-1-phosphotransferase (GNPTG),*Mucolipidoses
"MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE",Multiple pterygium syndrome,C23.550.505.700,C23.550.767.600,C16.131.831,C17.800.804,C16.131.077,,,,,,,,,,,,,,,,,"Multiple pterygium syndromes comprise a group of multiple autosomal recessive congenital anomaly disorders characterized by webbing (pterygia) of the neck, elbows, and/or knees and joint contractures (ARTHROGRYPOSIS). They are traditionally divided into prenatally lethal type (OMIM: 253290), caused by mutations in the CHRNA1, CHRND, and CHRNG genes and characterized by more severe anomalies, malignant hyperthermia, and death in utero or shortly after birth. The non-lethal (Escobar) type is milder and caused by mutations in the CHRNG gene. OMIM: 265000","*Malignant Hyperthermia;*Skin Abnormalities;*Abnormalities, Multiple"
LETHAL CONGENITAL CONTRACTURE SYNDROME 1,Lethal congenital contracture syndrome 1,C05.550.150,C05.651.102,C05.660.077,C16.131.621.077,,,,,,,,,,,,,,,,,,,*Arthrogryposis
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 4",,,,,,,,,,,,,,,,,,,,,,,,
ULLRICH CONGENITAL MUSCULAR DYSTROPHY,Scleroatonic muscular dystrophy,C23.550.823,C05.651.534.500,C10.668.491.175.500,C16.320.577,,,,,,,,,,,,,,,,,,"A genetically heterogeneous hereditary form of muscular dystrophy that is characterized by multiple CONTRACTURES; HYPOTONIA; HIP DISLOCATION and TORTICOLLIS  beginning in infancy. RESPIRATORY INSUFFICIENCY and PNEUMONIA are also common. Mutations in the COL6A1, COL6A2, and COL6A3 genes have been identified. OMIM: 254090",*Sclerosis;*Muscular Dystrophies
MIYOSHI MUSCULAR DYSTROPHY 1,Miyoshi myopathy,C05.651.534.500.074,C10.668.491.175.500.074,C16.320.577.074,C10.597.613.612,C23.300.070.500,C23.888.592.608.612,,,,,,,,,,,,,,,,"An autosomal recessive skeletal muscle disorder characterized by onset in young adulthood of distal muscle weakness and atrophy affecting the upper and lower limbs but sparing the intrinsic hand muscles. The SKELETAL MUSCLES are particularly affected and progression can involve the thigh and gluteal muscles. Patients have difficulty walking, but usually remain ambulatory. Serum CREATINE KINASE is increased and muscle biopsies show myopathic and dystrophic changes with NECROSIS. Mutations in the DYSF gene have been identified. OMIM: 254130",*Distal Myopathies;*Muscular Atrophy
"MYASTHENIC SYNDROME, CONGENITAL, ASSOCIATED WITH EPISODIC APNEA",Congenital myasthenic syndrome with episodic apnea,C08.618.085,C23.888.852.130,C10.114.656,C10.668.758.725,C20.111.258.500,,,,,,,,,,,,,,,,,,*Apnea;*Myasthenia Gravis
"MYASTHENIA, LIMB-GIRDLE, FAMILIAL",Congenital myasthenic syndrome ib,C10.668.758.800,C16.320.590,,,,,,,,,,,,,,,,,,,,,"*Myasthenic Syndromes, Congenital"
"MYELOMA, MULTIPLE",Multiple Myeloma,C04.557.595.500,C14.907.454.460,C15.378.147.780.650,C15.378.463.515.460,C20.683.515.845,C20.683.780.650,,,,,,,,,,,,,,,,"A malignancy of mature 
PLASMA CELLS engaging in monoclonal immunoglobulin production. It is characterized by hyperglobulinemia, excess Bence-Jones proteins (free monoclonal 
IMMUNOGLOBULIN LIGHT CHAINS) in the urine, skeletal destruction, bone pain, and fractures. Other features include 
ANEMIA; 
HYPERCALCEMIA; and 
RENAL INSUFFICIENCY.",
MYELOPEROXIDASE DEFICIENCY,Myeloperoxidase Deficiency,C16.320.565,C18.452.648,,,,,,,,,,,,,,,,,,,,mutation in MPO,"*Metabolism, Inborn Errors"
MYOPATHY WITH ABNORMAL LIPID METABOLISM,Myopathy with Abnormal Lipid Metabolism,C16.320.565.398,C18.452.584.562,C18.452.648.398,C05.651.534.500,C10.668.491.175.500,C16.320.577,,,,,,,,,,,,,,,,,"*Lipid Metabolism, Inborn Errors;*Muscular Dystrophies"
"CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, LATE-ONSET","Carnitine Palmitoyltransferase II Deficiency, Late-Onset",C16.320.565.398,C18.452.584.562,C18.452.648.398,C05.651,C10.668.491,D08.811.913.050.350.200,C18.452.660,,,,,,,,,,,,,,,PROM    mutation in carnitine palmitoyltransferase II,"*Lipid Metabolism, Inborn Errors;*Muscular Diseases;Carnitine O-Palmitoyltransferase/*deficiency;*Mitochondrial Diseases"
CARNITINE PALMITOYLTRANSFERASE I DEFICIENCY,Carnitine palmitoyl transferase 1A deficiency,C18.452.394.984,C16.320.565.398,C18.452.584.562,C18.452.648.398,D08.811.913.050.350.200,,,,,,,,,,,,,,,,,,"*Hypoglycemia;*Lipid Metabolism, Inborn Errors;Carnitine O-Palmitoyltransferase/*deficiency"
"MYOPATHY WITH EXERCISE INTOLERANCE, SWEDISH TYPE","Myopathy with Lactic Acidosis, Hereditary",C18.452.076.176.180,C05.651,C10.668.491,,,,,,,,,,,,,,,,,,,,"Acidosis, Lactic/*congenital;Muscular Diseases/*congenital"
MINICORE MYOPATHY WITH EXTERNAL OPHTHALMOPLEGIA,Minicore Myopathy with External Ophthalmoplegia,C10.292.562.750,C10.597.622.447,C11.590.472,C23.888.592.636.447,D12.776.157.530.400.150.800,D12.776.210.500.800,D12.776.543.550.425.150.800,D12.776.543.585.400.150.800,C05.651.575,C10.668.491.550,,,,,,,,,,,,associated with mutations in RYR1,"*Ophthalmoplegia;Ryanodine Receptor Calcium Release Channel/*deficiency;*Myopathies, Structural, Congenital"
"MYOSCLEROSIS, AUTOSOMAL RECESSIVE","Myosclerosis, Autosomal Recessive",C05.651.575,C10.668.491.550,,,,,,,,,,,,,,,,,,,,,"*Myopathies, Structural, Congenital"
NATIVE AMERICAN MYOPATHY,Native American myopathy,C23.550.505.700,C23.550.767.600,C05.651.662.500,C10.574.500.545,C10.668.491.606.500,C16.320.400.540,C05.500.460.185,C05.660.207.540.460.185,C07.320.440.185,C07.465.525.185,C07.650.500.460.185,C07.650.525.185,C16.131.621.207.540.460.185,C16.131.850.500.460.185,C16.131.850.525.185,,,,,,,,*Malignant Hyperthermia;*Myotonia Congenita;*Cleft Palate
NEMALINE MYOPATHY 2,Nemaline Myopathy 2,C05.651.575.290,C10.668.491.550.290,,,,,,,,,,,,,,,,,,,,,"*Myopathies, Nemaline"
"AUTOINFLAMMATION, LIPODYSTROPHY, AND DERMATOSIS SYNDROME",,,,,,,,,,,,,,,,,,,,,,,,
"ATELOSTEOGENESIS, TYPE II",Atelosteogenesis type 2,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias
NEPHRONOPHTHISIS 1,"Nephronophthisis, familial juvenile",C12.777.419.403,C13.351.968.419.403,,,,,,,,,,,,,,,,,,,,"A hereditary, autosomal recessive cystic kidney disease that leads to RENAL FAILURE in childhood or adolescence. It is the most frequent genetic cause of renal failure in children and is characterized by ANEMIA; POLYURIA; POLYDYPSIA, and isosthenuria; extrarenal manifestations may include, LIVER FIBROSIS; SITUS INVERSUS, and cardiac malformations. Mutations in the NPHP1 gene have been identified. OMIM: 256100","Kidney Diseases, Cystic/*congenital"
"NEPHROSIS 1, CONGENITAL, FINNISH TYPE","Nephrosis, congenital",C12.777.419.630.643,C13.351.968.419.630.643,,,,,,,,,,,,,,,,,,,,"A congenital nephrotic syndrome; patients present with PROTEINURIA; HYPOALBUMINEMIA; HYPERLIPIDEMIA, and EDEMA. Biopsies show nonspecific histologic changes such as MINIMAL CHANGE GLOMERULOPATHY;  FOCAL SEGMENTAL GLOMERULOSCLEROSIS (FSGS), and diffuse mesangial proliferation. Nephrotic syndrome type 1 (OMIM: 256300) presents with prenatal onset of massive proteinuria followed by severe steroid-resistant nephrotic syndrome at birth with rapid progression to CHRONIC KIDNEY FAILURE. Germline mutations have been identified in the NPHS1 gene for type 1; NPHS2 gene for type 2 (OMIM: 600995); and the PLCE1 gene for type 3 (OMIM: 610725).",*Nephrotic Syndrome
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1",Congenital Hyperinsulinism,C06.689.150,C16.614.200,C18.452.394.968.250,C18.452.394.984.200,,,,,,,,,,,,,,,,,,"A familial, nontransient 
HYPOGLYCEMIA with defects in negative feedback of GLUCOSE-regulated 
INSULIN release. Clinical phenotypes include 
HYPOGLYCEMIA; 
HYPERINSULINEMIA; 
SEIZURES; 
COMA; and often large 
BIRTH WEIGHT. Several sub-types exist with the most common, type 1, associated with mutations on an 
ATP-BINDING CASSETTE TRANSPORTERS (subfamily C, member 8).;2014(2004)",
